method,mean_reward,std_reward,ci95_lower,ci95_upper,n_groups
agemem,0.3983050847457627,0.7147339259398561,0.2711864406779661,0.5254237288135594,118
full_memory,0.3559322033898305,1.2110047917217799,0.14385593220339002,0.5847457627118644,118
heuristic,0.4152542372881356,0.7286657319530837,0.288135593220339,0.5423728813559322,118
no_memory,0.3728813559322034,0.4835709361927832,0.288135593220339,0.4661016949152542,118
reflexion,0.4152542372881356,0.7286657319530837,0.288135593220339,0.5423728813559322,118
retrieval,0.3728813559322034,0.8212909450566588,0.2288135593220339,0.5256355932203388,118
smtr_tci,0.6694915254237288,0.7255049059601523,0.5423728813559322,0.7883474576271184,118
