domain,task_id,seed,episode_id,team_reward,team_success,receiver_rewards,success,real_engine_executed,engine_duration_seconds,wall_seconds,exit_code,score
coding,90,0,58b167b3128a730663cd63c8,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,179.72,179.8,0,1.0
coding,90,1,22c63dda3380f86edff3e711,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,188.51,188.58,0,1.0
coding,70,0,116cc7cf37c243434c165a01,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,229.38,229.45,0,1.0
coding,70,1,fe8288a913c8b7ed4e1ec55b,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,226.48,226.56,0,1.0
coding,54,0,1dd22513685e9973a4bc8c08,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,185.83,185.89,0,1.0
coding,54,1,89b9a2750af8e3ff6238ea12,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,198.0,198.07,0,1.0
coding,29,0,ecfc89d9d3723d98f0383a4d,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,197.93,197.99,0,1.0
coding,29,1,77e4e95f0e4777c9ea418f6d,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,182.33,182.4,0,1.0
coding,58,0,adbcbda6644b60099615b1f9,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,213.53,213.6,0,1.0
coding,58,1,95d76aa83533671500edc27c,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,203.8,203.87,0,1.0
coding,76,0,fe76d630fea2e398de4709a3,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,242.11,242.18,0,1.0
coding,76,1,83c0a5525fb005f91eddb5aa,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,238.25,238.32,0,1.0
coding,36,0,726588b7a976fdc1055c173f,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.91,202.97,0,1.0
coding,36,1,961610f700fec3cdd1804920,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.8,202.87,0,1.0
coding,1,0,b282d0bbcdf5c92807903cab,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,216.54,216.61,0,1.0
coding,1,1,2e34d93a32c357a320d9cffe,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,235.09,235.16,0,1.0
coding,98,0,8023cd5deedafb3d214412d5,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,195.86,195.94,0,1.0
coding,98,1,0a680b5bb6fed2fc6b4ee11f,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,173.75,173.81,0,1.0
coding,21,0,790017803c0e9f94dcb854ae,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,210.45,210.52,0,1.0
coding,21,1,63b4082e3144625f7a6c14c7,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,218.28,218.34,0,1.0
coding,55,0,4d59fb1d8e064e9fa0bbfcbd,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,220.4,220.48,0,1.0
coding,55,1,211f48a1e855c8ae4cc88371,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,187.37,187.45,0,1.0
coding,44,0,c0e620b99bb35834bf15641a,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,215.31,215.38,0,1.0
coding,44,1,21b00c0bb80dcf85559970d1,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,216.34,216.41,0,1.0
coding,20,0,20d026aa7a951614a235b90a,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,196.32,196.38,0,1.0
coding,20,1,0736cebe13bbe994ba79a11a,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,194.53,194.6,0,1.0
coding,28,0,40f63c70eb557331a4d3c900,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,242.88,242.96,0,1.0
coding,28,1,75e11d5b95d3849145607ee6,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,237.41,237.49,0,1.0
coding,14,0,26683519844bd7bb9d3c759d,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,209.81,209.88,0,1.0
coding,14,1,3bd0de6a8aa2f8919c6dc962,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,213.57,213.64,0,1.0
coding,12,0,b583a02da8c940b004d2ade7,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,203.29,203.36,0,1.0
coding,12,1,00277b540950d5189eb1534b,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,196.43,196.5,0,1.0
coding,49,0,0deb6567dc1d6b7a143cc308,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,226.56,226.63,0,1.0
coding,49,1,08f507ac3e82f402c4167528,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,173.74,173.81,0,1.0
database,13,0,70b02e2436b7ed36b715dd12,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,196.95,197.03,0,1.0
database,13,1,56cec34c6e255da0ff688659,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,200.76,200.84,0,1.0
database,46,0,95828ab1496f0336d027d253,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,194.15,194.22,0,1.0
database,46,1,6d594780c7fd0a5bcf4de471,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,195.14,195.22,0,1.0
database,45,0,522eb61619386805654bf351,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.27,202.35,0,1.0
database,45,1,1e1c6b0e4b4616e0b9c18179,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,203.34,203.42,0,1.0
database,78,0,1a8f283c34e88bef9ddf0954,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,206.46,206.54,0,1.0
database,78,1,76a7a975772f82e5c33c17f6,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,203.56,203.63,0,1.0
database,34,0,d675fd00d94dff97503db9b9,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,202.95,203.03,0,1.0
database,34,1,fab21402f98b36b53e8b9a71,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,204.29,204.36,0,1.0
database,6,0,d0dd0f25af5d761b628f60ce,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,199.89,199.96,0,1.0
database,6,1,28ff3c5768ccb643e465bb0d,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,199.14,199.22,0,1.0
database,94,0,c472b453579dbc80078d3f27,1.0,True,"{""agent1"": 1.0, ""agent2"": 1.0, ""agent3"": 1.0}",True,True,199.26,199.35,0,1.0
