scenario,method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std
bargaining,no_memory,bargaining:11,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,6,6,1,1,1,1,1,1,0.0
bargaining,retrieval,bargaining:11,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:11,0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1,1,1,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,0,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1666666666666667,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:11,1,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,1,2.055555555555556,2.3333333333333335,2.3333333333333335,1.5,6,6,6,2,2,2,0,0,1,0.0
bargaining,retrieval,bargaining:11,1,1.3888888888888886,1.3333333333333333,1.3333333333333333,1.5,3,3,3,1,1,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:11,1,2.388888888888889,2.3333333333333335,2.3333333333333335,2.5,2,2,2,2,2,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,1,2.388888888888889,2.3333333333333335,2.3333333333333335,2.5,2,2,2,2,2,2,0,0,0,0.0
bargaining,no_memory,bargaining:11,2,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,2,-0.9444444444444445,-0.6666666666666667,-0.6666666666666667,-1.5,6,6,6,0,0,0,1,1,2,0.0
bargaining,retrieval,bargaining:11,2,-0.6111111111111112,-0.6666666666666667,-0.6666666666666667,-0.5,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:11,2,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,2,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:11,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,6,6,6,1,1,1,0,0,0,0.0
bargaining,retrieval,bargaining:11,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:11,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,3,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:11,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:11,4,-0.3333333333333333,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,6,6,6,0,0,0,1,1,1,0.0
bargaining,retrieval,bargaining:11,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:11,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:11,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:12,0,0.05555555555555555,0.0,0.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:12,0,1.388888888888889,1.0,3.0,0.16666666666666666,6,6,6,1,3,1,0,0,1,0.0
bargaining,retrieval,bargaining:12,0,0.055555555555555546,0.0,1.0,-0.8333333333333334,3,3,3,0,1,0,0,0,1,0.0
bargaining,smtr_uniform,bargaining:12,0,1.7222222222222223,1.0,3.0,1.1666666666666667,3,3,3,1,3,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:12,0,1.7222222222222223,1.0,3.0,1.1666666666666667,1,3,1,1,3,1,0,0,0,0.9428090415820634
bargaining,no_memory,bargaining:12,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:12,1,-0.16666666666666666,-0.5,1.5,-1.5,6,6,6,0,2,0,1,1,2,0.0
bargaining,retrieval,bargaining:12,1,0.5,0.5,1.5,-0.5,3,3,3,0,1,0,0,0,1,0.0
bargaining,smtr_uniform,bargaining:12,1,1.1666666666666667,0.5,2.5,0.5,2,2,2,0,2,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:12,1,1.1666666666666667,0.5,2.5,0.5,0,2,0,0,2,0,0,0,0,0.9428090415820634
bargaining,no_memory,bargaining:12,2,0.38888888888888884,0.3333333333333333,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:12,2,-0.6111111111111112,-0.6666666666666667,-0.5,-0.6666666666666667,6,6,6,0,0,0,1,1,1,0.0
bargaining,retrieval,bargaining:12,2,0.38888888888888884,0.3333333333333333,0.5,0.3333333333333333,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:12,2,0.38888888888888884,0.3333333333333333,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:12,2,0.38888888888888884,0.3333333333333333,0.5,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:12,3,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:12,3,-1.277777777777778,-1.3333333333333335,-1.1666666666666665,-1.3333333333333335,6,6,6,0,0,0,2,2,2,0.0
bargaining,retrieval,bargaining:12,3,-0.2777777777777778,-0.33333333333333337,-0.16666666666666663,-0.33333333333333337,3,3,3,0,0,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:12,3,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:12,3,0.7222222222222222,0.6666666666666666,0.8333333333333334,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:12,4,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:12,4,-0.888888888888889,-0.6666666666666667,-0.5,-1.5,6,6,6,0,0,0,1,1,2,0.0
bargaining,retrieval,bargaining:12,4,-0.5555555555555556,-0.6666666666666667,0.5,-1.5,3,3,3,0,0,0,1,0,2,0.0
bargaining,smtr_uniform,bargaining:12,4,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:12,4,0.4444444444444444,0.3333333333333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:15,0,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:15,0,0.7222222222222222,0.3333333333333333,1.3333333333333333,0.5,6,6,6,1,2,2,1,1,2,0.0
bargaining,retrieval,bargaining:15,0,-0.27777777777777785,-0.6666666666666667,0.3333333333333333,-0.5,3,3,3,0,1,0,1,1,1,0.0
bargaining,smtr_uniform,bargaining:15,0,2.055555555555556,1.3333333333333333,2.3333333333333335,2.5,3,3,3,1,2,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:15,0,2.055555555555556,1.3333333333333333,2.3333333333333335,2.5,1,2,2,1,2,2,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:15,1,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:15,1,1.5555555555555554,2.1666666666666665,1.1666666666666667,1.3333333333333333,6,6,6,3,2,3,1,1,2,0.0
bargaining,retrieval,bargaining:15,1,1.8888888888888886,2.1666666666666665,1.1666666666666667,2.3333333333333335,3,3,3,2,1,2,0,0,0,0.0
bargaining,smtr_uniform,bargaining:15,1,2.888888888888889,3.1666666666666665,2.1666666666666665,3.3333333333333335,3,3,3,3,2,3,0,0,0,0.0
bargaining,smtr_receiver,bargaining:15,1,2.888888888888889,3.1666666666666665,2.1666666666666665,3.3333333333333335,3,2,3,3,2,3,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:15,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:15,2,1.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,6,6,6,2,1,2,1,1,1,0.0
bargaining,retrieval,bargaining:15,2,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,3,3,3,2,1,2,0,0,0,0.0
bargaining,smtr_uniform,bargaining:15,2,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,2,2,2,2,1,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:15,2,2.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,2,1,2,2,1,2,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:15,3,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:15,3,1.7222222222222223,1.3333333333333333,2.3333333333333335,1.5,6,6,6,1,2,2,0,0,1,0.0
bargaining,retrieval,bargaining:15,3,1.7222222222222223,1.3333333333333333,2.3333333333333335,1.5,3,3,3,1,2,1,0,0,0,0.0
bargaining,smtr_uniform,bargaining:15,3,2.055555555555556,1.3333333333333333,2.3333333333333335,2.5,3,3,3,1,2,2,0,0,0,0.0
bargaining,smtr_receiver,bargaining:15,3,2.055555555555556,1.3333333333333333,2.3333333333333335,2.5,1,2,2,1,2,2,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:15,4,0.5555555555555555,0.5,0.5,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:15,4,0.2222222222222222,0.5,0.5,-0.33333333333333337,6,6,6,1,1,1,1,1,2,0.0
bargaining,retrieval,bargaining:15,4,0.5555555555555555,0.5,0.5,0.6666666666666666,3,3,3,1,1,1,1,1,1,0.0
bargaining,smtr_uniform,bargaining:15,4,1.5555555555555554,1.5,1.5,1.6666666666666665,1,1,1,1,1,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:15,4,1.5555555555555554,1.5,1.5,1.6666666666666665,1,1,1,1,1,1,0,0,0,0.0
bargaining,no_memory,bargaining:16,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:16,0,0.1666666666666667,-0.16666666666666663,0.8333333333333334,-0.16666666666666663,6,6,6,0,0,0,1,0,1,0.0
bargaining,retrieval,bargaining:16,0,0.1666666666666667,-0.16666666666666663,0.8333333333333334,-0.16666666666666663,3,3,3,0,0,0,1,0,1,0.0
bargaining,smtr_uniform,bargaining:16,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:16,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:16,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.33333333333333337,6,6,6,0,0,0,0,0,1,0.0
bargaining,retrieval,bargaining:16,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,-0.33333333333333337,3,3,3,0,0,0,0,0,1,0.0
bargaining,smtr_uniform,bargaining:16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:16,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:16,2,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:16,2,-0.2777777777777778,0.3333333333333333,0.3333333333333333,-1.5,6,6,6,1,1,0,1,1,2,0.0
bargaining,retrieval,bargaining:16,2,0.7222222222222222,1.3333333333333333,1.3333333333333333,-0.5,3,3,3,1,1,0,0,0,1,0.0
bargaining,smtr_uniform,bargaining:16,2,1.0555555555555556,1.3333333333333333,1.3333333333333333,0.5,1,1,1,1,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:16,2,1.0555555555555556,1.3333333333333333,1.3333333333333333,0.5,1,1,0,1,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:16,3,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:16,3,-0.5,-0.5,-0.5,-0.5,6,6,6,1,0,1,2,1,2,0.0
bargaining,retrieval,bargaining:16,3,-0.16666666666666666,-0.5,0.5,-0.5,3,3,3,0,0,0,1,0,1,0.0
bargaining,smtr_uniform,bargaining:16,3,1.1666666666666667,1.5,0.5,1.5,1,1,1,1,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:16,3,1.1666666666666667,1.5,0.5,1.5,1,0,1,1,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:16,4,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:16,4,0.055555555555555546,0.3333333333333333,0.3333333333333333,-0.5,6,6,6,0,0,0,0,0,1,0.0
bargaining,retrieval,bargaining:16,4,0.055555555555555546,0.3333333333333333,0.3333333333333333,-0.5,3,3,3,0,0,0,0,0,1,0.0
bargaining,smtr_uniform,bargaining:16,4,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:16,4,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:18,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:18,0,-0.5,-0.5,-0.5,-0.5,6,6,6,1,0,1,2,1,2,0.0
bargaining,retrieval,bargaining:18,0,-0.5,-0.5,-0.5,-0.5,3,3,3,1,0,1,2,1,2,0.0
bargaining,smtr_uniform,bargaining:18,0,1.1666666666666667,1.5,0.5,1.5,1,1,1,1,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:18,0,1.1666666666666667,1.5,0.5,1.5,1,0,1,1,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:18,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:18,1,-0.16666666666666666,-0.5,-0.5,0.5,6,6,6,0,0,1,1,1,1,0.0
bargaining,retrieval,bargaining:18,1,0.5,0.5,0.5,0.5,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:18,1,0.8333333333333334,0.5,0.5,1.5,1,1,1,0,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:18,1,0.8333333333333334,0.5,0.5,1.5,0,0,1,0,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:18,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:18,2,1.5,1.8333333333333335,1.8333333333333335,0.8333333333333334,6,6,6,1,1,0,0,0,0,0.0
bargaining,retrieval,bargaining:18,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:18,2,1.5,1.8333333333333335,1.8333333333333335,0.8333333333333334,1,1,1,1,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:18,2,1.5,1.8333333333333335,1.8333333333333335,0.8333333333333334,1,1,0,1,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:18,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:18,3,0.6666666666666666,0.6666666666666666,-0.33333333333333337,1.6666666666666665,6,6,6,1,0,1,1,1,0,0.0
bargaining,retrieval,bargaining:18,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:18,3,1.3333333333333333,1.6666666666666665,0.6666666666666666,1.6666666666666665,1,1,1,1,0,1,0,0,0,0.0
bargaining,smtr_receiver,bargaining:18,3,1.3333333333333333,1.6666666666666665,0.6666666666666666,1.6666666666666665,1,0,1,1,0,1,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:18,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:18,4,0.1666666666666667,-0.16666666666666663,-0.16666666666666663,0.8333333333333334,6,6,6,0,0,0,1,1,0,0.0
bargaining,retrieval,bargaining:18,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,3,3,0,0,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:18,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:18,4,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0,0,0,0.0
bargaining,no_memory,bargaining:19,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:19,0,-0.3333333333333334,-1.3333333333333335,0.6666666666666666,-0.33333333333333337,6,6,6,0,1,0,2,1,1,0.0
bargaining,retrieval,bargaining:19,0,0.9999999999999999,0.6666666666666666,1.6666666666666665,0.6666666666666666,3,3,3,0,1,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:19,0,0.9999999999999999,0.6666666666666666,1.6666666666666665,0.6666666666666666,1,1,1,0,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:19,0,0.9999999999999999,0.6666666666666666,1.6666666666666665,0.6666666666666666,0,1,0,0,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:19,1,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:19,1,0.5,0.5,1.5,-0.5,6,6,6,0,1,0,0,0,1,0.0
bargaining,retrieval,bargaining:19,1,0.8333333333333334,0.5,1.5,0.5,3,3,3,0,1,0,0,0,0,0.0
bargaining,smtr_uniform,bargaining:19,1,0.8333333333333334,0.5,1.5,0.5,1,1,1,0,1,0,0,0,0,0.0
bargaining,smtr_receiver,bargaining:19,1,0.8333333333333334,0.5,1.5,0.5,0,1,0,0,1,0,0,0,0,0.4714045207910317
bargaining,no_memory,bargaining:19,2,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0.0
bargaining,full_memory,bargaining:19,2,2.1666666666666665,2.5,3.5,0.5,6,6,6,2,3,1,0,0,1,0.0
