method,n_unique_memories,n_receivers_validated,n_validations,n_expose_rollouts,n_withhold_rollouts,total_rollouts,mean_team_reward,reward_per_validation,knowledge_quality,quality_per_validation
smtr_uniform,120,1,120,120,120,240,0.8172,0.00681,0.5194,0.004329
smtr_receiver,133,3,399,399,399,798,0.8417,0.00211,1.0,0.002506
