sharing_mode,team_reward_mean,team_reward_std,knowledge_propagation_accuracy,contamination_propagation,mean_bank_size
naive,0.9046666666666667,0.019390719429665308,0.7858158910790489,0.21418410892095102,49.5
smtr,0.8926666666666667,0.021228911104120844,0.9106163278476929,0.08938367215230719,49.5
