scenario,task_id,seed,episode_id,iteration,summary_length,n_task_results,n_messages,n_errors,continue_simulation
bargaining,87,1,01ee1ae94dbca8f9ffdeee6d,1,1938,0,0,0,True
bargaining,87,1,01ee1ae94dbca8f9ffdeee6d,2,1961,0,0,0,True
bargaining,87,1,01ee1ae94dbca8f9ffdeee6d,3,1898,0,0,0,True
bargaining,87,1,01ee1ae94dbca8f9ffdeee6d,4,1942,0,0,0,True
bargaining,87,1,01ee1ae94dbca8f9ffdeee6d,5,1932,0,0,0,True
bargaining,70,0,474790b23c39e1ba1a269122,1,1346,0,0,0,True
bargaining,70,0,474790b23c39e1ba1a269122,2,1437,0,0,0,True
bargaining,70,0,474790b23c39e1ba1a269122,3,1776,0,0,0,True
bargaining,70,0,474790b23c39e1ba1a269122,4,1444,0,0,0,True
bargaining,70,0,474790b23c39e1ba1a269122,5,1437,0,0,0,True
bargaining,70,1,ec302424e85cea9fae43aed3,1,1439,0,0,0,True
bargaining,70,1,ec302424e85cea9fae43aed3,2,1776,0,0,0,True
bargaining,70,1,ec302424e85cea9fae43aed3,3,1776,0,0,0,True
bargaining,70,1,ec302424e85cea9fae43aed3,4,1395,0,0,0,True
bargaining,70,1,ec302424e85cea9fae43aed3,5,1439,0,0,0,True
bargaining,12,0,9d6e32df6125af5d899cd66f,1,1965,0,0,0,True
bargaining,12,0,9d6e32df6125af5d899cd66f,2,1947,0,0,0,False
bargaining,12,1,b64202e3abb3bdca8fdcf32c,1,2269,0,0,0,True
bargaining,12,1,b64202e3abb3bdca8fdcf32c,2,1921,0,0,0,True
bargaining,12,1,b64202e3abb3bdca8fdcf32c,3,1909,0,0,0,True
bargaining,12,1,b64202e3abb3bdca8fdcf32c,4,1942,0,0,0,True
bargaining,12,1,b64202e3abb3bdca8fdcf32c,5,1855,0,0,0,True
bargaining,76,0,60e0509a6dd24672a2ebe507,1,1702,0,0,0,False
bargaining,76,1,5b6e89e80b3c540af39b3b8c,1,1705,0,0,0,False
bargaining,55,0,df59c6a80ed946869fe263c1,1,2035,0,0,0,True
bargaining,55,0,df59c6a80ed946869fe263c1,2,2110,0,0,0,False
bargaining,55,1,67ef051e8a0869f706e4d926,1,1378,0,0,0,False
bargaining,5,0,19fecde0db8f05bebcab70bd,1,1756,0,0,0,False
bargaining,5,1,007b2c1bad157cf05a31ca26,1,1511,0,0,0,False
bargaining,28,0,e9a867db7ce680a7fa2868c1,1,1812,0,0,0,True
bargaining,28,0,e9a867db7ce680a7fa2868c1,2,1770,0,0,0,True
bargaining,28,0,e9a867db7ce680a7fa2868c1,3,2048,0,0,0,False
bargaining,28,1,036692e93170ab829c8a259f,1,1709,0,0,0,True
bargaining,28,1,036692e93170ab829c8a259f,2,1759,0,0,0,False
bargaining,30,0,14292ce74c5ac2f6b3da0522,1,1496,0,0,0,False
bargaining,30,1,04a4dd394474267a2c4d0188,1,2117,0,0,0,True
bargaining,30,1,04a4dd394474267a2c4d0188,2,2146,0,0,0,False
bargaining,65,0,239405982be3c93f4ee5c924,1,1585,0,0,0,True
bargaining,65,0,239405982be3c93f4ee5c924,2,1585,0,0,0,False
bargaining,65,1,03ac37fe7bd2ee8b12ce325f,1,1941,0,0,0,True
bargaining,65,1,03ac37fe7bd2ee8b12ce325f,2,1477,0,0,0,True
bargaining,65,1,03ac37fe7bd2ee8b12ce325f,3,1477,0,0,0,True
bargaining,65,1,03ac37fe7bd2ee8b12ce325f,4,1360,0,0,0,False
bargaining,78,0,bfaa8c9477c446afc6db2463,1,2008,0,0,0,True
bargaining,78,0,bfaa8c9477c446afc6db2463,2,2259,0,0,0,False
