task_id,agent,seed,edge_id,real_engine,success,evaluator,agents_audited,has_output,warnings
12,agent1,2,edge_ef1b349cdcf5f17d,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,2,edge_64cb9be54d1122da,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,2,edge_85ee429873833326,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,2,edge_542586db040bca0f,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,2,edge_5a583806ec69e40d,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,1,edge_7b46dfaa6e452bb3,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
12,agent1,1,edge_ef1b349cdcf5f17d,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,1,edge_64cb9be54d1122da,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,1,edge_85ee429873833326,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,1,edge_542586db040bca0f,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,1,edge_5a583806ec69e40d,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,0,edge_7b46dfaa6e452bb3,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,0,edge_ef1b349cdcf5f17d,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,0,edge_64cb9be54d1122da,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,0,edge_85ee429873833326,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,0,edge_542586db040bca0f,True,True,marble_database_evaluate_task_db,7,True,OK
12,agent1,0,edge_5a583806ec69e40d,True,True,marble_database_evaluate_task_db,7,True,OK
13,agent1,2,edge_62c0d8c86262a038,True,True,marble_database_evaluate_task_db,7,True,OK
13,agent1,2,edge_3ed5fece42b28da9,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,2,edge_d740fab166b1e065,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,2,edge_4885c5031169effa,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,2,edge_12552e5da6066261,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,2,edge_863775ddd49e1cf0,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,1,edge_62c0d8c86262a038,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,1,edge_3ed5fece42b28da9,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,1,edge_d740fab166b1e065,True,True,marble_database_evaluate_task_db,7,True,OK
13,agent1,1,edge_4885c5031169effa,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,1,edge_12552e5da6066261,True,True,marble_database_evaluate_task_db,7,True,OK
13,agent1,1,edge_863775ddd49e1cf0,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,0,edge_62c0d8c86262a038,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,0,edge_3ed5fece42b28da9,True,True,marble_database_evaluate_task_db,7,True,OK
13,agent1,0,edge_d740fab166b1e065,True,True,marble_database_evaluate_task_db,7,True,OK
13,agent1,0,edge_4885c5031169effa,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,0,edge_12552e5da6066261,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
13,agent1,0,edge_863775ddd49e1cf0,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
14,agent1,2,edge_02cca25b26886d5e,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
14,agent1,2,edge_efe7c1b47c092356,True,True,marble_database_evaluate_task_db,7,True,OK
14,agent1,2,edge_f860ae6bec8e8b89,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,2,edge_fe38cd7eafe61e45,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,2,edge_553f2dcd0bdb4a8a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,2,edge_2fae9478326b008b,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,1,edge_02cca25b26886d5e,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,1,edge_efe7c1b47c092356,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,1,edge_f860ae6bec8e8b89,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,1,edge_fe38cd7eafe61e45,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,1,edge_553f2dcd0bdb4a8a,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,1,edge_2fae9478326b008b,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
14,agent1,0,edge_02cca25b26886d5e,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
14,agent1,0,edge_efe7c1b47c092356,True,True,marble_database_evaluate_task_db,7,True,OK
14,agent1,0,edge_f860ae6bec8e8b89,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
14,agent1,0,edge_fe38cd7eafe61e45,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
14,agent1,0,edge_553f2dcd0bdb4a8a,False,False,marble_database_engine,0,False,real_engine_not_executed;outcome_failed;no_marble_output
14,agent1,0,edge_2fae9478326b008b,True,False,marble_database_evaluate_task_db,7,True,outcome_failed
16,agent1,2,edge_25de2fd419cdd4bd,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,2,edge_6b52ab2a748fbac5,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,2,edge_556c194697c66f51,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,2,edge_a4983deaf8be5727,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,2,edge_22cb5a8ab06fe21f,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,2,edge_9cefbc7ec8900664,True,True,marble_database_evaluate_task_db,7,True,OK
16,agent1,1,edge_25de2fd419cdd4bd,True,True,marble_database_evaluate_task_db,7,True,OK
