contamination_type,ratio,method,task_id,seed,n_contaminated_total,n_contaminated_injected,contamination_rate,team_reward,total_injected,propagation_depth
false_procedural,0.1,smtr_uniform,21,2,0,0,0.0,1.0,6,0.0
false_procedural,0.1,smtr_receiver,21,2,0,0,0.0,1.0,3,0.0
false_procedural,0.1,full_memory,22,0,0,0,0.0,0.0,12,0.0
false_procedural,0.1,retrieval,22,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,22,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,22,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,22,1,0,0,0.0,0.0,15,0.0
false_procedural,0.1,retrieval,22,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,22,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,22,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,23,0,0,0,0.0,1.3333,12,0.0
false_procedural,0.1,retrieval,23,0,0,0,0.0,1.3333,9,0.0
false_procedural,0.1,smtr_uniform,23,0,0,0,0.0,1.3333,6,0.0
false_procedural,0.1,smtr_receiver,23,0,0,0,0.0,1.3333,4,0.0
false_procedural,0.1,full_memory,23,1,0,0,0.0,1.3333,18,0.0
false_procedural,0.1,retrieval,23,1,0,0,0.0,1.0,9,0.0
false_procedural,0.1,smtr_uniform,23,1,0,0,0.0,1.6667,6,0.0
false_procedural,0.1,smtr_receiver,23,1,0,0,0.0,1.6667,5,0.0
false_procedural,0.1,full_memory,23,2,0,0,0.0,1.0,15,0.0
false_procedural,0.1,retrieval,23,2,0,0,0.0,0.6667,9,0.0
false_procedural,0.1,smtr_uniform,23,2,0,0,0.0,1.3333,6,0.0
false_procedural,0.1,smtr_receiver,23,2,0,0,0.0,1.3333,4,0.0
false_procedural,0.1,full_memory,26,0,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,26,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,26,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,26,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,26,1,0,0,0.0,-1.3333,18,0.0
false_procedural,0.1,retrieval,26,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,26,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,26,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,26,2,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,26,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,26,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,26,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,27,0,0,0,0.0,0.0,15,0.0
false_procedural,0.1,retrieval,27,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,27,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,27,0,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,27,1,0,0,0.0,-0.3333,15,0.0
false_procedural,0.1,retrieval,27,1,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,27,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,27,1,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,27,2,0,0,0.0,0.0,12,0.0
false_procedural,0.1,retrieval,27,2,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,27,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,smtr_receiver,27,2,0,0,0.0,0.0,0,0.0
false_procedural,0.1,full_memory,29,0,0,0,0.0,0.6667,15,0.0
false_procedural,0.1,retrieval,29,0,0,0,0.0,0.0,9,0.0
false_procedural,0.1,smtr_uniform,29,0,0,0,0.0,1.0,6,0.0
false_procedural,0.1,smtr_receiver,29,0,0,0,0.0,1.0,3,0.0
false_procedural,0.1,full_memory,29,1,0,0,0.0,-0.3333,18,0.0
false_procedural,0.1,retrieval,29,1,0,0,0.0,0.0,9,0.0
