method,distribution_b_reward_mean,distribution_b_reward_std,transfer_gain_mean,transfer_gain_std
no_memory,0.43199999999999994,0.044899888641287286,0.0,0.0
full_memory,0.86,0.057965506984757754,0.42799999999999994,0.10007996802557444
retrieval,0.9,0.012649110640673528,0.4680000000000001,0.046647615158762396
smtr_tci,0.9640000000000001,0.03440930106817049,0.532,0.06273754856543247
