scenario,task_id,seed,raw_task_score,normalized_task_score,metric_name,metric_valid,metric_error,team_success,coordination_score,runtime,evaluator_status,engine_status,exit_code
bargaining,1,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.897690296173096,failure,ok,1
bargaining,1,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.44534659385681,failure,ok,1
bargaining,2,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.43357586860657,failure,ok,1
bargaining,2,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.50365352630615,failure,ok,1
bargaining,3,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.4864935874939,failure,ok,1
bargaining,3,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.53360319137573,failure,ok,1
bargaining,4,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.52198815345764,failure,ok,1
bargaining,4,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.45850205421448,failure,ok,1
bargaining,5,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.44640135765076,failure,ok,1
bargaining,5,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.46329712867737,failure,ok,1
bargaining,6,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.39475750923157,failure,ok,1
bargaining,6,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.43630337715149,failure,ok,1
bargaining,7,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.428746700286865,failure,ok,1
bargaining,7,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.494956254959106,failure,ok,1
bargaining,8,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.47360944747925,failure,ok,1
bargaining,8,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.87855792045593,failure,ok,1
bargaining,9,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.46359324455261,failure,ok,1
bargaining,9,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.498356342315674,failure,ok,1
bargaining,10,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.478103160858154,failure,ok,1
bargaining,10,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.446089029312134,failure,ok,1
bargaining,11,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.46102476119995,failure,ok,1
bargaining,11,1,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.423949003219604,failure,ok,1
bargaining,12,0,,,avg_negotiation_quality,False,task_evaluation_not_available,False,,38.47531533241272,failure,ok,1
