method,task_id,seed,team_reward,receiver_1_reward,receiver_2_reward,receiver_3_reward,receiver_1_injected,receiver_2_injected,receiver_3_injected,receiver_1_positive,receiver_2_positive,receiver_3_positive,receiver_1_negative,receiver_2_negative,receiver_3_negative,receiver_disagreement_std
smtr_receiver,16,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,17,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,17,0,0.6666666666666666,0.0,1.0,1.0,4,4,4,0,1,1,0,0,0,0.0
retrieval,17,0,0.0,0.0,0.0,0.0,3,3,3,0,0,0,0,0,0,0.0
smtr_uniform,17,0,0.6666666666666666,0.0,1.0,1.0,1,1,1,0,1,1,0,0,0,0.0
smtr_receiver,17,0,0.6666666666666666,0.0,1.0,1.0,0,1,1,0,1,1,0,0,0,0.4714045207910317
no_memory,17,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,17,1,1.6666666666666667,1.0,2.0,2.0,4,4,4,1,2,2,0,0,0,0.0
retrieval,17,1,1.0,1.0,1.0,1.0,3,3,3,1,1,1,0,0,0,0.0
smtr_uniform,17,1,1.6666666666666667,1.0,2.0,2.0,2,2,2,1,2,2,0,0,0,0.0
smtr_receiver,17,1,1.6666666666666667,1.0,2.0,2.0,1,2,2,1,2,2,0,0,0,0.4714045207910317
no_memory,19,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,19,0,-2.3333333333333335,-3.0,-3.0,-1.0,5,5,5,0,0,0,4,4,2,0.0
retrieval,19,0,-0.6666666666666666,-1.0,-1.0,0.0,3,3,3,0,0,0,2,2,1,0.0
smtr_uniform,19,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,19,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,19,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,19,1,1.6666666666666667,1.0,1.0,3.0,4,4,4,1,1,3,0,0,0,0.0
retrieval,19,1,1.3333333333333333,1.0,1.0,2.0,3,3,3,1,1,2,0,0,0,0.0
smtr_uniform,19,1,1.6666666666666667,1.0,1.0,3.0,3,3,3,1,1,3,0,0,0,0.0
smtr_receiver,19,1,1.6666666666666667,1.0,1.0,3.0,1,1,3,1,1,3,0,0,0,0.9428090415820634
no_memory,19,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,19,2,0.3333333333333333,0.0,0.0,1.0,2,2,2,0,0,1,0,0,0,0.0
retrieval,19,2,0.3333333333333333,0.0,0.0,1.0,2,2,2,0,0,1,0,0,0,0.0
smtr_uniform,19,2,0.3333333333333333,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0,0.0
smtr_receiver,19,2,0.3333333333333333,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0.4714045207910317
no_memory,2,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,2,2,0.6666666666666666,1.0,1.0,0.0,6,6,6,1,1,0,0,0,0,0.0
retrieval,2,2,0.6666666666666666,1.0,1.0,0.0,3,3,3,1,1,0,0,0,0,0.0
smtr_uniform,2,2,0.6666666666666666,1.0,1.0,0.0,2,2,2,1,1,0,0,0,0,0.0
smtr_receiver,2,2,0.6666666666666666,1.0,1.0,0.0,1,1,0,1,1,0,0,0,0,0.4714045207910317
no_memory,21,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,21,0,0.3333333333333333,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0,0.0
retrieval,21,0,0.3333333333333333,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0,0.0
smtr_uniform,21,0,0.3333333333333333,0.0,0.0,1.0,1,1,1,0,0,1,0,0,0,0.0
smtr_receiver,21,0,0.3333333333333333,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,0.4714045207910317
no_memory,21,2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,21,2,1.6666666666666667,1.0,1.0,3.0,5,5,5,1,1,3,0,0,0,0.0
retrieval,21,2,0.6666666666666666,0.0,1.0,1.0,3,3,3,0,1,1,0,0,0,0.0
smtr_uniform,21,2,1.3333333333333333,1.0,1.0,2.0,3,3,3,1,1,2,0,0,0,0.0
smtr_receiver,21,2,1.6666666666666667,1.0,1.0,3.0,1,1,3,1,1,3,0,0,0,0.9428090415820634
no_memory,22,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,22,0,1.0,1.0,1.0,1.0,4,4,4,0,0,0,0,0,0,0.0
retrieval,22,0,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0
smtr_uniform,22,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,22,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,22,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
full_memory,22,1,1.0,1.0,1.0,1.0,5,5,5,0,0,0,0,0,0,0.0
retrieval,22,1,1.0,1.0,1.0,1.0,3,3,3,0,0,0,0,0,0,0.0
smtr_uniform,22,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
smtr_receiver,22,1,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.0
no_memory,23,0,0.08333333333333333,0.0,0.0,0.25,0,0,0,0,0,0,0,0,0,0.0
full_memory,23,0,1.0833333333333333,1.0,1.0,1.25,4,4,4,1,1,2,0,0,1,0.0
retrieval,23,0,0.75,1.0,1.0,0.25,3,3,3,1,1,1,0,0,1,0.0
smtr_uniform,23,0,1.4166666666666667,1.0,1.0,2.25,2,2,2,1,1,2,0,0,0,0.0
smtr_receiver,23,0,1.4166666666666667,1.0,1.0,2.25,1,1,2,1,1,2,0,0,0,0.4714045207910317
no_memory,23,1,0.1111111111111111,0.0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.0
full_memory,23,1,1.111111111111111,2.0,0.16666666666666666,1.1666666666666667,6,6,6,2,1,2,0,1,1,0.0
